Title,Author,Work_Type,Priority,Status,Specificity,Category,Dimension,SWEBOK_or_Primary_KA,BOK_or_Framework_Anchor,Zachman_Focus,Bloom_Level,Cynefin_Domain,Abstraction_Level,Time_Horizon,Knowledge_Type,Activation_Style,Best_Representation,RAG_Suitability,Ontology_Suitability,Policy_or_LoRA_Suitability,Primary_Agent_Role,Failure_Modes_Addressed,Canonical_Concepts_or_Triggers,Why_It_Belongs,ISBN_13_or_Edition_Note,Acquisition_Note,Critique_Dimension
The Visual Display of Quantitative Information,Edward Tufte,Book,Medium,Keep,General,Data Visualisation,Information Design,Software Design / HCI,None / informal canon,What; How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Dashboard Critic,general poor judgement / missing context,Information Design,Classic principles for high-density analytical visualisation.,9780961392147,ISBN best-effort; verify edition before acquisition,Information Design / Data Visualisation
About Face,Alan Cooper et al.,Book,Medium,Keep,General,UX,Interaction Design,Software Design / HCI,None / informal canon,How; Why,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,Interaction Design Agent,poor usability / user mismatch,Interaction Design,"Interaction design, personas, goals, and product behaviour.",9781118766576,ISBN best-effort; verify edition before acquisition,Interaction Design / UX
Refactoring UI,Adam Wathan; Steve Schoger,Book,Medium,Add,General,UX / Visual Design,Visual Design for Engineers,Software Design / HCI,None / informal canon,How,Analyse / Evaluate / Create,Clear / Complicated,Product / User,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,Medium,Low,High,Visual Design Critic,poor usability / user mismatch,Visual Design for Engineers,High-signal practical visual design literacy for engineers building web and app interfaces.,Independent / edition dependent,Verify current official edition/source,Visual Design / UX
Cloud FinOps,J.R. Storment; Mike Fuller,Book,Medium,Add,General,FinOps,Cloud Economics,Software Engineering Economics,FinOps,How; Where; Why,Analyse / Evaluate / Create,Complicated,Business / Market,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + Metrics + RAG,Medium,Medium,High,FinOps Agent,coupling / poor boundaries; cloud spend drift,Cloud Economics,"Cloud cost governance, ownership, optimisation, tagging, unit economics, and architecture-cost trade-offs.",9781492054628,Verify edition before acquisition,Cloud Economics / FinOps
FinOps Framework,FinOps Foundation,Standard / Web Reference,Medium,Add,General,FinOps,Cloud Financial Governance,Software Engineering Economics,FinOps,How; Where,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Medium-term / Delivery,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow + Metrics,Medium,High,High,FinOps Governance Agent,coupling / poor boundaries; cloud spend drift,inform; optimise; operate; cost allocation; unit economics,Canonical cloud financial operations framework for architecture/economic trade-off literacy.,Online framework,Use latest online version,FinOps / Governance
An Elegant Puzzle,Will Larson,Book,Medium,Keep,General,Management,Engineering Leadership,Software Engineering Management,None / informal canon,Who; Why,Analyse / Evaluate / Create,Complex,Organisation / Enterprise,Long-term / Strategic,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Engineering Leadership Agent,coordination failure,Engineering Leadership,"Engineering management systems, organisations, and strategy.",9781732265189,ISBN best-effort; verify edition before acquisition,Engineering Leadership / Management
Staff Engineer,Will Larson,Book,Medium,Add,General,Management,Staff+ Engineering,Software Engineering Management,None / informal canon,Who,Analyse / Evaluate / Create,Complicated / Complex,Organisation / Enterprise,Long-term / Strategic,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Staff Engineer Agent,coordination failure,Staff+ Engineering,"Staff-level influence, technical leadership, and organisational leverage.",9781736417911,ISBN best-effort; verify edition before acquisition,Staff+ Engineering / Management
The Manager's Path,Camille Fournier,Book,Medium,Keep,General,Management,Engineering Management,Software Engineering Management,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Organisation / Enterprise,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Engineering Manager Agent,general poor judgement / missing context,Engineering Management,"Career ladder, management transitions, and engineering leadership.",9781491973899,ISBN best-effort; verify edition before acquisition,Engineering Management / Management
The Checklist Manifesto,Atul Gawande,Book,Medium,Keep,General,Operations,Execution Reliability,Software Engineering Management,None / informal canon,How,Analyse / Evaluate / Create,Clear / Complicated,System / Platform,Cross-horizon,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Policy + Workflow,Medium,Low,High,Checklist Agent,operational brittleness,Execution Reliability,Checklist-based operational reliability and error reduction.,9780312430009,ISBN best-effort; verify edition before acquisition,Execution Reliability / Operations
The Practice of Cloud System Administration,Thomas Limoncelli et al.,Book,Medium,Add,General,Operations,Cloud Operations / Governance,Software Engineering Management,NIST/OWASP/WCAG,Where,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Long-term / Strategic,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Medium,High,Cloud Operations Agent,operational brittleness,Cloud Operations / Governance,"Pragmatic operational governance, cloud administration, reliability, and service-management literacy without deep ITIL bureaucracy.",9780321943187,ISBN best-effort; verify edition before acquisition,Operations / Governance
The Practice of System and Network Administration,Thomas Limoncelli; Christina Hogan; Strata Chalup,Book,Medium,Add,Specific,Operations,Sysadmin / Operations,Software Engineering Management,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Long-term / Strategic,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Operations Agent,latency / protocol misunderstanding; operational brittleness,Sysadmin / Operations,"Operational practices, service management, reliability, and automation culture.",9780321919168,ISBN best-effort; verify edition before acquisition,Sysadmin / Operations / Operations
Lean Analytics,Alistair Croll; Benjamin Yoskovitz,Book,Medium,Add,General,Product Analytics,Analytics / Metrics,Software Engineering Management,None / informal canon,How,Analyse / Evaluate / Create,Complex,Product / User,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy + Metrics,Medium,Low,High,Product Analytics Agent,waste / local optimisation; building without market learning,Analytics / Metrics,"Startup/product metrics, experimentation, and stage-aware analytics.",9781449335670,ISBN best-effort; verify edition before acquisition,Analytics / Metrics / Product Analytics
PMBOK Guide,Project Management Institute,Book,Medium,Keep,General,Project Management,Project Management BOK,Software Engineering Management,PMBOK / Agile,Who; When,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Medium-term / Delivery,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,Low,High,Medium,Project Governance Agent,schedule fantasy / governance failure,scope; schedule; risk; stakeholder; procurement,"Risk, scope, schedule, dependency, stakeholder and delivery governance.",9781628256642,ISBN best-effort; verify edition before acquisition,Project Management BOK / Project Management
Zero to One,Peter Thiel,Book,Medium,Keep,General,Startup Strategy,Differentiation,Software Engineering Management / Business Context,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Business / Market,Long-term / Strategic,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Strategic Contrarian Agent,building without market learning,Differentiation,"Differentiation, monopoly thinking, and startup strategy.",9780804139298,ISBN best-effort; verify edition before acquisition,Differentiation / Startup Strategy
Continuous Discovery Habits,Teresa Torres,Book,Medium,Add,General,Product,Discovery,Software Engineering Management / Requirements,None / informal canon,Who,Analyse / Evaluate / Create,Complex,Product / User,Medium-term / Delivery,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Workflow + Policy,Medium,Low,High,Discovery Agent,general poor judgement / missing context,Discovery,"Continuous product discovery, opportunity trees, and customer learning.",9781736633304,ISBN best-effort; verify edition before acquisition,Discovery / Product
Empowered,Marty Cagan; Chris Jones,Book,Medium,Add,General,Product,Product Organisation,Software Engineering Management / Requirements,None / informal canon,Who,Analyse / Evaluate / Create,Complicated,Product / User,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Product Organisation Agent,cognitive overload / team coupling; coordination failure,Product Organisation,"Product leadership, team empowerment, and product operating model.",9781119691297,ISBN best-effort; verify edition before acquisition,Product Organisation / Product
Impact Mapping,Gojko Adzic,Book,Medium,Add,General,Product,Outcome Mapping,Software Engineering Management / Requirements,None / informal canon,Why,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Medium-term / Delivery,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Workflow + Policy,Medium,Low,High,Outcome Mapping Agent,general poor judgement / missing context,Outcome Mapping,"Connects goals, actors, impacts, and deliverables.",9780955683640,ISBN best-effort; verify edition before acquisition,Outcome Mapping / Product
Agile Estimating and Planning,Mike Cohn,Book,Medium,Keep,General,Agile,Planning,Software Engineering Process,PMBOK / Agile,When,Apply / Analyse,Complicated / Complex,Organisation / Enterprise,Cross-horizon,Operational / Procedural,Workflow execution / checklist,Workflow,Low,Low,Medium,Planning Agent,process cargo cult,Planning,"Agile estimation, planning, velocity, and release planning.",9780131479418,ISBN best-effort; verify edition before acquisition,Planning / Agile
Kanban,David J. Anderson,Book,Medium,Keep,General,Agile / Lean,Flow,Software Engineering Process,PMBOK / Agile,How,Analyse / Evaluate / Create,Complicated / Complex,Organisation / Enterprise,Medium-term / Delivery,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Workflow + Policy,Medium,Low,High,Flow Agent,process cargo cult; waste / local optimisation,Flow,"Kanban method, WIP limits, flow, and service delivery.",9780984521401,ISBN best-effort; verify edition before acquisition,Flow / Agile / Lean
Beyond the Phoenix Project,Gene Kim et al.,Book,Medium,Add,General,DevOps,Enterprise Transformation,Software Engineering Process,PMBOK / Agile,How,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Long-term / Strategic,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Policy + Workflow,Medium,Medium,High,Transformation Agent,schedule fantasy / governance failure,Enterprise Transformation,"Enterprise transformation, platform thinking, governance, and operational capability maturity.",9781942788355,ISBN best-effort; verify edition before acquisition,Transformation / Governance
The Phoenix Project,Gene Kim; Kevin Behr; George Spafford,Book,Medium,Keep,General,DevOps,Flow / DevOps,Software Engineering Process,PMBOK / Agile,Who,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Long-term / Strategic,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,DevOps Culture Agent,coordination failure; schedule fantasy / governance failure,Flow / DevOps,"Narrative introduction to DevOps, constraints, flow, and organisational learning.",9781942788294,ISBN best-effort; verify edition before acquisition,Flow / DevOps / DevOps
The Unicorn Project,Gene Kim,Book,Medium,Keep,General,DevOps,Developer Productivity,Software Engineering Process,PMBOK / Agile,How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Developer Productivity Agent,schedule fantasy / governance failure,Developer Productivity,"Developer experience, flow, and modern engineering culture.",9781942788768,ISBN best-effort; verify edition before acquisition,Developer Productivity / DevOps
Lean Thinking,James Womack; Daniel Jones,Book,Medium,Add,General,Lean,Lean Management,Software Engineering Process,None / informal canon,Why,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Lean Agent,waste / local optimisation,Lean Management,"Value streams, waste removal, and lean operating principles.",9780743249270,ISBN best-effort; verify edition before acquisition,Lean Management / Lean
The Site Reliability Workbook,Google,Book,Medium,Add,Specific,Reliability,SRE Practice,Software Quality,None / informal canon,How,Apply / Analyse,Complicated / Complex,System / Platform,Immediate / Tactical,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Low,Medium,SRE Implementation Agent,operational brittleness,SRE Practice,Practical SRE implementation patterns.,9781492029502,ISBN best-effort; verify edition before acquisition,SRE Practice / Reliability
NIST Privacy Framework,NIST,Standard / Web Reference,Medium,Add,General,Privacy / Governance,Privacy Governance,Software Quality / Compliance,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Long-term / Strategic,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,Medium,High,Medium,Privacy Governance Agent,privacy/compliance breach; scaling-pattern gaps,Privacy Governance,Structured privacy-risk governance reference for system design and compliance awareness.,Online framework,Use latest online version,Privacy Governance
Privacy Is Hard and Seven Other Myths,Woodrow Hartzog,Book,Medium,Add,General,Privacy / Legal,Privacy Engineering Literacy,Software Quality / Compliance,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Clear / Complicated,Cross-layer,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,Medium,Medium,High,Privacy Critic,privacy/compliance breach,Privacy Engineering Literacy,Privacy/product/legal thinking for technologists without becoming a legal manual.,9780190897114,Verify edition before acquisition,Privacy / Legal
OWASP ASVS,OWASP,Standard / Web Reference,Medium,Add,General,Security,Application Security Verification,Software Quality / Security,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated,System / Platform,Immediate / Tactical,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,High,High,Medium,Security Verification Agent,security breach / weak threat model,verification levels; appsec controls; secure SDLC checks,Pragmatic application-security verification baseline and checklist-oriented governance.,Online standard,Use latest online edition,Security Governance
Secure by Design,Dan Bergh Johnsson; Daniel Deogun; Daniel Sawano,Book,Medium,Add,General,Security,Secure Design,Software Quality / Security,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated,System / Platform,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,High,Low,High,Secure Design Agent,security breach / weak threat model,Secure Design,"Security through domain modelling, design, and development practices.",9781617294358,ISBN best-effort; verify edition before acquisition,Secure Design / Security
The Web Application Hacker's Handbook,Dafydd Stuttard; Marcus Pinto,Book,Medium,Keep,Specific,Security,Web Security,Software Quality / Security,NIST/OWASP/WCAG,How,Understand / Analyse,Complicated,System / Platform,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Security Testing Agent,security breach / weak threat model,Web Security,Practical web application attack and defence concepts.,9781118026472,ISBN best-effort; verify edition before acquisition,Web Security / Security
Threat Modeling,Adam Shostack,Book,Medium,Add,General,Security,Threat Modelling,Software Quality / Security,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated,System / Platform,Cross-horizon,Operational / Procedural; Heuristic / Policy,Workflow execution / checklist,Workflow + Policy,Medium,Low,High,Threat Model Agent,security breach / weak threat model,Threat Modelling,Structured threat modelling practice for software systems.,9781118809990,ISBN best-effort; verify edition before acquisition,Threat Modelling / Security
Web API Security,Neil Madden,Book,Medium,Add,Specific,Security,API Security,Software Quality / Security,NIST/OWASP/WCAG,How,Analyse / Evaluate / Create,Complicated,System / Platform,Cross-horizon,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,RAG + Policy,High,Low,High,API Security Agent,security breach / weak threat model,API Security,"API authentication, authorisation, OAuth, tokens, and API threat surfaces.",9781617296024,ISBN best-effort; verify edition before acquisition,API Security / Security
BABOK Guide,IIBA,Book,Medium,Keep,General,Business Analysis,Business Analysis BOK,Software Requirements,BABOK,What; How; Who; Why,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Medium-term / Delivery,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,Low,High,Medium,Business Analysis Agent,wrong problem / ambiguous requirements,elicitation; stakeholder analysis; requirements lifecycle,"Elicitation, stakeholder analysis, requirements, process and decision modelling.",9781927584026,ISBN best-effort; verify edition before acquisition,Business Analysis BOK / Business Analysis
User Stories Applied,Mike Cohn,Book,Medium,Add,General,Requirements,User Stories,Software Requirements,BABOK,What; Who,Apply / Analyse,Complicated,Product / User,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Low,Medium,Agile Requirements Agent,wrong problem / ambiguous requirements; process cargo cult,User Stories,"User stories, acceptance criteria, and agile requirements practice.",9780321205681,ISBN best-effort; verify edition before acquisition,User Stories / Requirements
Writing Effective Use Cases,Alistair Cockburn,Book,Medium,Keep,General,Requirements,Use Cases / Specification,Software Requirements,BABOK,What; Why,Apply / Analyse,Complicated,Product / User,Medium-term / Delivery,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Low,Medium,Specification Agent,wrong problem / ambiguous requirements,Use Cases / Specification,Use case writing and goal-oriented requirements communication.,9780201702255,ISBN best-effort; verify edition before acquisition,Use Cases / Specification / Requirements
The Art of SEO,Eric Enge; Stephan Spencer; Jessie Stricchiola,Book,Low,Add,Specific,Marketing / SEO,SEO / Discoverability,Business Context,None / informal canon,What; How; Why,Understand / Apply,Complex,Business / Market,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,Medium,Medium,Low,SEO / Discoverability Agent,coupling / poor boundaries; brittle integration / coupling; poor acquisition / attribution gaps,SEO / Discoverability,"Enough SEO/search/discoverability literacy for web systems, metadata, content architecture, and analytics integrations.",9781491948965,Verify current edition; SEO dates quickly,SEO / Martech
SPIN Selling,Neil Rackham,Book,Low,Add,General,Sales,Sales Process Literacy,Business Context,None / informal canon,How; Who; When,Analyse / Evaluate / Create,Clear / Complicated,Business / Market,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Low,Medium,Medium,Sales Process Agent,brittle integration / coupling; CRM/process mismatch,Sales Process Literacy,"Basic sales process and qualification literacy for CRM, pipeline, opportunity, and customer lifecycle integration.",9780070511132,Verify edition before acquisition,Sales / CRM Literacy
Distributed Algorithms,Nancy Lynch,Book,Low,Add,Specialist,Computer Science,Distributed Algorithms,Computing Foundations,None / informal canon,How; Where,Understand / Apply,Complicated,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Consensus / Formal Agent,general poor judgement / missing context,Distributed Algorithms,Formal treatment of distributed algorithms and correctness.,9781558603486,ISBN best-effort; verify edition before acquisition,Distributed Algorithms / Computer Science
The C++ Programming Language,Bjarne Stroustrup,Book,Low,Keep,Specific,Programming Languages,Language Foundations,Computing Foundations,None / informal canon,How,Understand / Apply,Complicated / Complex,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Language Foundations Agent,general poor judgement / missing context,Language Foundations,Canonical C++ reference and programming model.,9780321563842,ISBN best-effort; verify edition before acquisition,Language Foundations / Programming Languages
Natural Language Processing with Transformers,Lewis Tunstall; Leandro von Werra; Thomas Wolf,Book,Low,Keep,Specific / ageing,LLMs,NLP / Transformers,Computing Foundations / AI,None / informal canon,How,Understand / Apply,Complicated / Complex,Cross-layer,Immediate / Tactical,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,LLM Technical Agent,general poor judgement / missing context,NLP / Transformers,Transformer/NLP implementation practice; useful but likely to date faster.,9781098103248,ISBN best-effort; verify edition before acquisition,NLP / Transformers / LLMs
Designing Machine Learning Systems for Production,Chip Huyen,Book,Low,Review,Potential duplicate / verify title,ML Systems,Production AI,Computing Foundations / AI,None / informal canon,How,Understand / Apply,Complicated / Complex,Product / User,Medium-term / Delivery,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,ML Systems Agent,general poor judgement / missing context,Production AI,Placeholder only if a distinct official title is used; otherwise avoid duplicate.,Verify before acquisition,Must verify edition/ISBN before purchase,Production AI / ML Systems
Blue Ocean Strategy,W. Chan Kim; Renée Mauborgne,Book,Low,Keep,General,Business Strategy,Market Strategy,Cross-cutting / Other,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Business / Market,Long-term / Strategic,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Opportunity Agent,general poor judgement / missing context,Market Strategy,Market differentiation and uncontested market-space framing.,9781625274496,ISBN best-effort; verify edition before acquisition,Market Strategy / Business Strategy
Good to Great,Jim Collins,Book,Low,Keep,General,Business Strategy,Strategy,Cross-cutting / Other,None / informal canon,Why,Analyse / Evaluate / Create,Complex,Business / Market,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Strategy Lens Agent,bottleneck / capacity failure,Strategy,"Focus, discipline, and company-performance narratives; useful but less operational.",9780066620992,ISBN best-effort; verify edition before acquisition,Strategy / Business Strategy
The $100 Startup,Chris Guillebeau,Book,Low,Keep,General,Entrepreneurship,Small Business,Cross-cutting / Other,None / informal canon,Why,Analyse / Evaluate / Create,Complicated / Complex,Business / Market,Long-term / Strategic,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Bootstrap Agent,building without market learning,Small Business,Lightweight entrepreneurial execution and small-business framing.,9780307951526,ISBN best-effort; verify edition before acquisition,Small Business / Entrepreneurship
Programming from the Ground Up,Jonathan Bartlett,Book,Low,Keep,Specific,Low-level Programming,Assembly / Low-level,Cross-cutting / Other,None / informal canon,How,Understand / Apply,Complicated / Complex,Substrate / Machine / Runtime,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Low-level Agent,general poor judgement / missing context,Assembly / Low-level,Assembly and machine-level computing concepts.,9780975283849,ISBN best-effort; verify edition before acquisition,Assembly / Low-level / Low-level Programming
Getting Things Done,David Allen,Book,Low,Keep,General,Productivity,Personal Operating System,Cross-cutting / Other,None / informal canon,How,Analyse / Evaluate / Create,Complicated,Substrate / Machine / Runtime,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Personal Workflow Agent,general poor judgement / missing context,Personal Operating System,"Task capture, workflow, and personal execution discipline.",9780143126560,ISBN best-effort; verify edition before acquisition,Personal Operating System / Productivity
BDD in Action,John Ferguson Smart,Book,Low,Add,Specific,Requirements / Testing,BDD,Cross-cutting / Other,BABOK,What; How,Apply / Analyse,Complicated,Code / Component,Immediate / Tactical,Mechanistic / Factual; Operational / Procedural,Workflow execution / checklist,Workflow + RAG,High,Low,Medium,BDD Agent,wrong problem / ambiguous requirements; regression / weak feedback loop,BDD,Behaviour-driven development practice and collaboration patterns.,9781617291654,ISBN best-effort; verify edition before acquisition,BDD / Requirements / Testing
The Wealth of Networks,Yochai Benkler,Book,Low,Add,General,Online Communities,Networked Production,Human and Social Aspects,None / informal canon,Where; Who,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Medium-term / Delivery,Mechanistic / Factual; Heuristic / Policy,Deep retrieval on demand,Policy + RAG,Medium,Medium,Medium,Networked Production Agent,latency / protocol misunderstanding; coordination failure,Networked Production,"Commons-based peer production, networked collaboration, and internet organisational dynamics.",9780300125771,Verify edition before acquisition,Networked Production / Communities
Co-Intelligence,Ethan Mollick,Book,Low,Add,Current / ageing,AI / Human-AI Interaction,AI Skills / Interface,Human-AI Interaction,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Cross-layer,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Low,Low,Medium,Human-AI Interaction Agent,general poor judgement / missing context,AI Skills / Interface,"Current human-AI collaboration framing; useful as a provisional interface/skill layer, likely to age quickly.",9780593716717,Verify edition; treat as current-context material,AI Interface / Human-AI Collaboration
Crucial Conversations,Patterson et al.,Book,Low,Add,General,Communication,Influence / Conflict,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy; Cultural / Cognitive,Continuous background prior,Policy,Medium,Low,High,Stakeholder Communication Agent,general poor judgement / missing context,Influence / Conflict,High-stakes communication and alignment.,9780071771320,ISBN best-effort; verify edition before acquisition,Influence / Conflict / Communication
Never Split the Difference,Chris Voss,Book,Low,Keep,General,Communication,Negotiation,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Human / Cultural,Cross-horizon,Heuristic / Policy; Cultural / Cognitive,Continuous background prior,Policy,Medium,Low,High,Negotiation Agent,general poor judgement / missing context,Negotiation,Negotiation tactics and tactical empathy; enough for awareness.,9780062407801,ISBN best-effort; verify edition before acquisition,Negotiation / Communication
Programming Proverbs,Various,Standard / Web Reference,Low,Add,General,Engineering Heuristics,Aphorisms,Professional Practice,None / informal canon,How,Understand / Apply,Clear / Complicated,Cross-layer,Cross-horizon,Reference / Context,Triggered heuristic / critique lens,Symbolic Trigger List,Low,Medium,High,Heuristic Trigger Agent,general poor judgement / missing context,Aphorisms,Compressed programming proverbs and aphorisms for critique and cultural priors.,Web reference / varies,Use curated public web sources and verify licence,Aphorisms / Culture
The Cathedral and the Bazaar,Eric S. Raymond,Book,Low,Keep,General,Open Source,Open Source Culture,Professional Practice,None / informal canon,How,Analyse / Evaluate / Create,Clear / Complicated,Human / Cultural,Long-term / Strategic,Heuristic / Policy; Cultural / Cognitive,Continuous background prior,Policy,Medium,Low,High,Open Source Agent,general poor judgement / missing context,Open Source Culture,Open-source development culture and bazaar-style collaboration.,9780596001087,ISBN best-effort; verify edition before acquisition,Open Source Culture / Open Source
Unix Power Tools,Shelley Powers; Jerry Peek; Tim O'Reilly; Mike Loukides,Book,Low,Add,Specific,Unix Philosophy,Tooling,Professional Practice,None / informal canon,How,Understand / Apply,Complicated / Complex,Cross-layer,Cross-horizon,Mechanistic / Factual,Deep retrieval on demand,RAG,High,Low,Low,Tooling Agent,general poor judgement / missing context,Tooling,Unix tool usage patterns and practical composability.,9780596003302,ISBN best-effort; verify edition before acquisition,Tooling / Unix Philosophy
Zachman Framework,John Zachman,Standard / Web Reference,Low,Keep,General,Enterprise Architecture,EA Ontology,Software Design,TOGAF / Zachman,How,Analyse / Evaluate / Create,Complicated,System / Platform,Medium-term / Delivery,Structural / Ontological,Structural retrieval / coverage check,Ontology,Low,High,Low,Ontology / Viewpoint Agent,coupling / poor boundaries,what/how/where/who/when/why; viewpoints,Architecture classification schema and viewpoint matrix.,Framework / no single canonical ISBN,ISBN best-effort; verify edition before acquisition,EA Ontology / Enterprise Architecture
The Humane Interface,Jef Raskin,Book,Low,Add,General,UX,Interface Design,Software Design / HCI,None / informal canon,How,Analyse / Evaluate / Create,Complicated / Complex,Product / User,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Interface Critic,poor usability / user mismatch,Interface Design,Human interface principles and critiques of conventional UI.,9780201379372,ISBN best-effort; verify edition before acquisition,Interface Design / UX
Smart and Gets Things Done,Joel Spolsky,Book,Low,Add,Specific,Management,Hiring,Software Engineering Management,None / informal canon,Who,Analyse / Evaluate / Create,Complicated / Complex,Organisation / Enterprise,Cross-horizon,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Hiring Agent,cognitive overload / team coupling,Hiring,Engineering hiring heuristics and team-quality judgement.,9781590598382,ISBN best-effort; verify edition before acquisition,Hiring / Management
Scrum: The Art of Doing Twice the Work in Half the Time,Jeff Sutherland,Book,Low,Keep,General,Agile,Scrum,Software Engineering Process,PMBOK / Agile,How,Analyse / Evaluate / Create,Complicated / Complex,Organisation / Enterprise,Medium-term / Delivery,Heuristic / Policy,Continuous background prior,Policy,Medium,Low,High,Scrum Agent,process cargo cult,Scrum,Scrum as a lightweight delivery framing; useful but not dominant.,9780385346450,ISBN best-effort; verify edition before acquisition,Scrum / Agile
Scaled Agile Framework,Scaled Agile Inc.,Standard / Web Reference,Low,Keep,General,Agile Governance,Enterprise Agile,Software Engineering Process,PMBOK / Agile,Why,Analyse / Evaluate / Create,Complicated,Organisation / Enterprise,Long-term / Strategic,Structural / Ontological; Operational / Procedural,Workflow execution / checklist,Ontology + Workflow,Low,High,Medium,Enterprise Agile Agent,process cargo cult,Enterprise Agile,Portfolio/value-stream alignment and enterprise agile structure; avoid over-ceremony.,Online / varies,Must verify edition/ISBN before purchase,Enterprise Agile / Agile Governance
